date,name,code,market,horizon,close,signal
2026-09-10,台達電,2308,TW,長期,1675.0,賣出減碼
2026-09-10,聯發科,2454,TW,長期,4720.0,賣出減碼
2026-09-10,聯電,2303,TW,長期,142.5,加碼
2026-09-10,京元電子,2449,TW,長期,271.5,賣出減碼
2026-09-10,台積電,2330,TW,長期,2450.0,賣出減碼
2026-09-10,南亞科,2408,TW,長期,515.0,賣出減碼
2026-09-10,華邦電,2344,TW,長期,179.5,買進
2026-09-10,群聯,8299,TW,長期,2065.0,買進
2026-09-10,國巨,2327,TW,長期,572.0,賣出減碼
2026-09-10,嘉澤,3533,TW,長期,1575.0,賣出減碼
2026-09-10,環球晶,6488,TW,長期,917.0,賣出減碼
2026-09-10,金像電,2368,TW,長期,1045.0,賣出減碼
2026-09-10,SLS,SLS,US,長期,13.49,賣出減碼
2026-09-10,0050,0050,TW,長期,109.15,賣出減碼
2026-09-10,天鈺,4961,TW,長期,172.5,買進
2026-09-10,高力,8996,TW,長期,1300.0,賣出減碼
2026-09-10,長廣,7795,TW,長期,534.0,加碼
2026-09-10,尖點,8021,TW,長期,438.0,買進
2026-09-10,奇鋐,3017,TW,長期,3460.0,買進
2026-09-10,駐龍,4572,TW,長期,141.0,賣出減碼
2026-09-10,騰輝電子-KY,6672,TW,長期,299.0,買進
2026-09-10,營邦,3693,TW,長期,691.0,賣出減碼
2026-09-10,安葆,7792,TW,長期,322.0,買進
2026-09-10,陽程,3498,TW,長期,191.0,觀望
2026-09-10,萊德光電-KY,7717,TW,長期,486.5,買進
2026-09-10,信紘科,6667,TW,長期,251.0,賣出減碼
2026-09-10,汎銓,6830,TW,長期,591.0,加碼
2026-09-10,漢磊,3707,TW,長期,61.8,賣出減碼
2026-09-10,文曄,3036,TW,長期,192.5,賣出減碼
2026-09-10,光聖,6442,TW,長期,1800.0,賣出減碼
2026-09-10,華通,2313,TW,長期,225.5,賣出減碼
2026-09-10,亞翔,6139,TW,長期,753.0,賣出減碼
2026-09-10,主動統一台股增長,00981A,TW,長期,29.89,賣出減碼
2026-09-10,頎邦,6147,TW,長期,190.5,買進
2026-09-10,欣興,3037,TW,長期,994.0,買進
2026-09-10,金居,8358,TW,長期,521.0,賣出減碼
2026-09-10,台燿,6274,TW,長期,1395.0,買進
2026-09-10,弘塑,3131,TW,長期,2460.0,賣出減碼
2026-09-10,盟立,2464,TW,長期,193.5,賣出減碼
2026-09-10,永笙-KY,4178,TW,長期,16.8,賣出減碼
2026-09-10,中天,4128,TW,長期,14.7,賣出減碼
2026-09-10,期元大S&P黃金,00635U,TW,長期,45.56,賣出減碼
2026-09-10,景碩,3189,TW,長期,827.0,賣出減碼
2026-09-10,元大台灣50反1,00632R,TW,長期,9.73,賣出減碼
2026-09-10,新唐,4919,TW,長期,116.5,賣出減碼
2026-09-12,京元電子,2449,TW,長期,263.0,賣出減碼
2026-09-12,聯發科,2454,TW,長期,4585.0,買進
2026-09-12,聯電,2303,TW,長期,140.5,賣出減碼
2026-09-12,台積電,2330,TW,長期,2410.0,賣出減碼
2026-09-12,台達電,2308,TW,長期,1620.0,賣出減碼
2026-09-12,群聯,8299,TW,長期,1990.0,賣出減碼
2026-09-12,嘉澤,3533,TW,長期,1580.0,賣出減碼
2026-09-12,南亞科,2408,TW,長期,493.0,賣出減碼
2026-09-12,華邦電,2344,TW,長期,171.5,賣出減碼
2026-09-12,國巨,2327,TW,長期,544.0,賣出減碼
2026-09-12,環球晶,6488,TW,長期,902.0,賣出減碼
2026-09-12,金像電,2368,TW,長期,1030.0,賣出減碼
2026-09-12,0050,0050,TW,長期,107.7,賣出減碼
2026-09-12,天鈺,4961,TW,長期,170.0,賣出減碼
2026-09-12,長廣,7795,TW,長期,507.0,賣出減碼
2026-09-12,SLS,SLS,US,長期,13.49,賣出減碼
2026-09-12,高力,8996,TW,長期,1330.0,賣出減碼
2026-09-12,尖點,8021,TW,長期,418.5,賣出減碼
2026-09-12,駐龍,4572,TW,長期,142.5,賣出減碼
2026-09-12,奇鋐,3017,TW,長期,3370.0,賣出減碼
2026-09-12,安葆,7792,TW,長期,305.5,買進
2026-09-12,營邦,3693,TW,長期,663.0,賣出減碼
