date,stock_id,percent,people,unit
2026-09-04,000218,100.0,1,422278902
2026-09-04,000560,100.0,1,29700000
2026-09-04,000708,100.0,1,20200000
2026-09-04,000779,100.0,1,1150000000
2026-09-04,000815,100.0,1,2505407068
2026-09-04,000856,100.0,1,323400000
2026-09-04,00400A,16.01,209,304775825
2026-09-04,00401A,19.72,30,44368034
2026-09-04,00402A,20.27,103,144136243
2026-09-04,00403A,15.93,1762,2487243957
2026-09-04,00404A,18.68,35,64189461
2026-09-04,00405A,18.49,452,589905375
2026-09-04,00406A,21.57,793,749931020
2026-09-04,00407A,24.42,363,643200770
2026-09-04,00408A,30.62,37,45230928
2026-09-04,00409A,39.13,495,715456470
2026-09-04,00410A,36.17,29,56584707
2026-09-04,00411A,31.63,109,207127678
2026-09-04,0050,26.48,917,5915628180
2026-09-04,0051,12.83,5,3144828
2026-09-04,0052,19.92,163,512139653
2026-09-04,0053,55.620000000000005,5,5556377
2026-09-04,0055,43.32,17,36684201
2026-09-04,0056,11.54,720,1626755372
2026-09-04,0057,0.0,0,0
2026-09-04,0061,32.9,22,31637330
2026-09-04,006201,46.64,7,10709422
2026-09-04,006203,74.49,5,7612977
2026-09-04,006204,0.0,0,0
2026-09-04,006205,45.35,26,42396605
2026-09-04,006206,20.85,4,5586521
2026-09-04,006207,14.22,5,2974839
2026-09-04,006208,10.2,58,190082850
2026-09-04,00625K,0.0,0,0
2026-09-04,00631L,29.19,1505,2132091799
2026-09-04,00632R,47.010000000000005,853,1296860035
2026-09-04,00633L,33.95,37,39901089
2026-09-04,00634R,53.54,14,22903363
2026-09-04,00635U,20.17,32,62327354
2026-09-04,00636,21.09,19,19800500
2026-09-04,00636K,0.0,0,0
2026-09-04,00637L,56.96,277,424566676
2026-09-04,00638R,52.63,8,12084182
2026-09-04,00639,25.49,22,24455673
2026-09-04,00640L,28.18,3,1810001
2026-09-04,00641R,57.790000000000006,33,52750048
2026-09-04,00642U,42.48,13,28613540
2026-09-04,00643,40.35,21,29270180
2026-09-04,00643K,0.0,0,0
2026-09-04,00645,23.98,10,10318526
2026-09-04,00646,43.0,72,264603623
2026-09-04,00647L,30.47,1,1955463
2026-09-04,00648R,46.54,39,66434967
2026-09-04,00650L,50.4,39,48588298
2026-09-04,00651R,69.81,16,22478935
2026-09-04,00652,31.03,15,18945774
2026-09-04,00653L,13.33,1,1720112
2026-09-04,00654R,55.03,9,10716403
2026-09-04,00655L,29.22,20,16942390
2026-09-04,00656R,74.71000000000001,14,15212208
2026-09-04,00657,10.07,1,613023
2026-09-04,00657K,0.0,0,0
2026-09-04,00660,27.26,3,1917000
2026-09-04,00661,17.369999999999997,5,4072617
2026-09-04,00662,37.27,95,339524183
2026-09-04,00663L,28.1,21,42219686
2026-09-04,00664R,58.85,398,520747052
2026-09-04,00665L,58.25,150,235379579
2026-09-04,00666R,80.98,7,9820645
2026-09-04,00668,32.48,2,2430513
2026-09-04,00668K,0.0,0,0
2026-09-04,00669R,46.33,63,95073447
2026-09-04,00670L,13.07,9,10096832
2026-09-04,00671R,69.64,206,362873117
2026-09-04,00673R,45.51,235,353853248
2026-09-04,00674R,45.46,4,6557307
2026-09-04,00675L,20.87,12,22927063
2026-09-04,00676R,46.0,74,90113968
2026-09-04,00678,17.73,3,1498000
2026-09-04,00679B,42.74,691,2669550337
2026-09-04,00680L,53.88,512,785905311
2026-09-04,00681R,91.68,6,6962896
2026-09-04,00682U,77.88,4,5953992
2026-09-04,00683L,67.39,6,7706485
2026-09-04,00684R,81.2,6,7867279
2026-09-04,00685L,31.43,1524,1819344600
2026-09-04,00686R,67.53,115,178147905
2026-09-04,00687B,42.74,554,1824843705
2026-09-04,00687C,93.67,1,1819400
2026-09-04,00688L,49.89,211,312001640
2026-09-04,00689R,87.38,5,6019920
2026-09-04,00690,12.73,13,10692791
2026-09-04,00692,16.650000000000002,34,102357842
2026-09-04,00693U,40.47,19,29010054
2026-09-04,00694B,63.86,8,17614000
2026-09-04,00695B,75.14,9,30199536
2026-09-04,00696B,83.5,28,516688274
2026-09-04,00697B,23.54,11,15364035
2026-09-04,00700,13.63,7,4367703
2026-09-04,00701,6.69,11,11400349
2026-09-04,00702,55.32,5,3700414
2026-09-04,00703,23.42,3,2237591
2026-09-04,00706L,31.38,30,41209818
2026-09-04,00707R,96.03,5,5623837
2026-09-04,00708L,28.24,27,41710852
2026-09-04,00709,38.57,9,5772951
2026-09-04,00710B,82.02000000000001,8,147447448
2026-09-04,00711B,99.33,5,866083082
2026-09-04,00712,31.94,1192,1663682755
2026-09-04,00713,22.34,77,377226344
2026-09-04,00714,46.23,12,9280820
2026-09-04,00715L,53.0,16,43046161
2026-09-04,00717,27.03,25,32351004
2026-09-04,00719B,30.2,49,93251877
2026-09-04,00720B,65.62,300,2650487979
2026-09-04,00722B,89.86,48,1314156784
2026-09-04,00723B,99.71,13,1516400087
2026-09-04,00724B,97.61,32,2950936170
2026-09-04,00725B,81.91,157,3023470328
2026-09-04,00726B,97.97,17,1163571779
2026-09-04,00727B,89.22,5,51029260
2026-09-04,00728,5.3,2,2119575
2026-09-04,00730,15.69,8,10838743
2026-09-04,00731,12.510000000000002,4,2517452
2026-09-04,00733,14.27,6,9200288
2026-09-04,00734B,82.53,2,20619000
2026-09-04,00735,20.27,21,24411555
2026-09-04,00736,74.32,6,5000325
2026-09-04,00737,15.06,4,3397591
2026-09-04,00738U,18.14,41,43732827
2026-09-04,00739,39.760000000000005,9,10138387
2026-09-04,00740B,96.64,46,2115910482
2026-09-04,00741B,49.510000000000005,3,6502236
2026-09-04,00746B,99.57,28,2540030464
2026-09-04,00749B,99.75,7,1107810000
2026-09-04,00750B,99.73,4,147617234
2026-09-04,00751B,75.59,326,3953158610
2026-09-04,00752,30.51,31,78221106
2026-09-04,00753L,49.73,241,331166099
2026-09-04,00754B,99.75,14,1300670000
2026-09-04,00755B,97.59,7,273500000
2026-09-04,00756B,97.6,19,1268266952
2026-09-04,00757,30.47,30,81433914
2026-09-04,00758B,90.49,1,5000000
2026-09-04,00759B,98.89,1,47000000
2026-09-04,00760B,99.15,6,431365472
2026-09-04,00761B,98.52,31,2695436170
2026-09-04,00762,17.259999999999998,5,8075396
2026-09-04,00763U,50.83,12,20880943
2026-09-04,00764B,94.12,31,1454410631
2026-09-04,00768B,98.27,28,778053252
2026-09-04,00770,12.36,9,9901066
2026-09-04,00771,15.17,2,2159118
2026-09-04,00772B,80.43,144,2711697196
2026-09-04,00773B,95.62,42,2482568554
2026-09-04,00775B,99.66,7,231330000
2026-09-04,00777B,99.92,14,2075360000
2026-09-04,00778B,99.92,10,1521080000
2026-09-04,00779B,99.6,9,1292579158
2026-09-04,00780B,97.37,9,239645365
2026-09-04,00781B,29.24,3,2438000
2026-09-04,00782B,23.31,4,4775020
2026-09-04,00783,10.16,1,715006
2026-09-04,00785B,99.83,11,1061720810
2026-09-04,00786B,28.82,6,5640679
2026-09-04,00787B,41.03,5,4845949
2026-09-04,00788B,26.15,7,6464516
2026-09-04,00789B,99.38,11,452790000
2026-09-04,00791B,99.68,6,280204000
2026-09-04,00792B,99.87,15,2314770577
2026-09-04,00793B,24.2,1,611504
2026-09-04,00795B,55.46,141,846184223
2026-09-04,00799B,24.78,7,6454970
2026-09-04,00830,20.58,58,174239806
2026-09-04,00834B,94.36,4,21890000
2026-09-04,00836B,99.53,12,628104734
2026-09-04,00840B,99.27,3,59000000
2026-09-04,00841B,99.43,5,70047000
2026-09-04,00842B,44.24,6,9190000
2026-09-04,00844B,99.21,5,211503000
2026-09-04,00845B,99.57,4,236061210
2026-09-04,00846B,98.18,2,73000000
2026-09-04,00847B,31.21,2,1344000
2026-09-04,00848B,99.51,3,135410000
2026-09-04,00849B,99.83,6,485335445
2026-09-04,00850,17.93,32,74859024
2026-09-04,00851,27.87,1,1540000
2026-09-04,00852L,68.29,3,5713662
2026-09-04,00853B,91.01,10,162159549
2026-09-04,00856B,56.77,2,3856501
2026-09-04,00857B,59.35,67,357030741
2026-09-04,00858,15.18,13,17911108
2026-09-04,00859B,19.76,6,5934010
2026-09-04,00860B,0.0,0,0
2026-09-04,00861,6.15,4,4306726
2026-09-04,00862B,98.3,11,864558201
2026-09-04,00863B,99.59,9,509877000
2026-09-04,00864B,34.28,21,37639112
2026-09-04,00865B,30.26,50,93463874
2026-09-04,00867B,99.79,10,563996000
2026-09-04,00870B,99.61,9,561975476
2026-09-04,00875,20.3,4,3045018
2026-09-04,00876,27.3,11,25815307
2026-09-04,00877,15.92,26,26118849
2026-09-04,00878,11.25,879,2121179727
2026-09-04,00881,15.27,129,455254187
2026-09-04,00882,26.61,390,525994189
2026-09-04,00884B,98.76,4,74511597
2026-09-04,00885,17.53,88,105751198
2026-09-04,00886,13.5,1,601021
2026-09-04,00887,31.04,117,138970550
2026-09-04,00888,10.3,31,67708006
2026-09-04,00890B,73.39,3,13406305
2026-09-04,00891,13.68,111,263240146
2026-09-04,00892,16.86,27,54659667
2026-09-04,00893,8.48,21,30468105
2026-09-04,00894,12.22,10,18109255
2026-09-04,00895,9.28,7,13372108
2026-09-04,00896,7.939999999999999,22,32775255
2026-09-04,00897,17.12,24,22023032
2026-09-04,00898,20.84,26,24400284
2026-09-04,00899,5.63,1,909211
2026-09-04,00900,15.3,86,237054656
2026-09-04,00901,13.3,10,8303283
2026-09-04,00902,17.17,28,38499568
2026-09-04,00903,10.69,5,5059000
2026-09-04,00904,12.33,18,19524392
2026-09-04,00905,7.76,19,27972682
2026-09-04,00907,11.45,13,16994769
2026-09-04,00908,37.35,9,12864893
2026-09-04,00909,11.62,10,12412858
2026-09-04,00910,9.670000000000002,10,11193742
2026-09-04,00911,16.37,6,5309765
2026-09-04,00912,21.660000000000004,8,12627387
2026-09-04,00913,21.49,8,12746992
2026-09-04,00915,16.57,36,84606012
2026-09-04,00916,15.05,16,15947970
2026-09-04,00917,13.56,10,8349718
2026-09-04,00918,11.78,214,426516745
2026-09-04,00919,11.09,1041,2030292132
2026-09-04,00920,22.22,5,4509968
2026-09-04,00921,8.24,4,4522220
2026-09-04,00922,31.44,108,672432221
2026-09-04,00923,14.419999999999998,46,137624810
2026-09-04,00924,22.28,27,97028106
2026-09-04,00926,56.66,12,58934216
2026-09-04,00927,12.56,82,171571530
2026-09-04,00928,19.76,10,8674716
2026-09-04,00929,9.24,220,467906978
2026-09-04,00930,6.199999999999999,7,7861092
2026-09-04,00931B,76.72,103,1726467261
2026-09-04,00932,11.78,9,13193501
2026-09-04,00933B,76.01,458,4957425417
2026-09-04,00934,11.52,23,48960363
2026-09-04,00935,24.63,55,219733905
2026-09-04,00936,10.17,9,19750024
2026-09-04,00937B,60.66,3207,10407755422
2026-09-04,00938,45.5,9,45287137
2026-09-04,00939,7.1,49,82998791
2026-09-04,00940,12.26,392,640444114
2026-09-04,00941,13.23,36,60357623
2026-09-04,00942B,89.72000000000001,68,1817239467
2026-09-04,00943,32.800000000000004,5,13253065
2026-09-04,00944,10.4,6,5578519
2026-09-04,00945B,40.53,135,333022100
2026-09-04,00946,19.08,32,84693974
2026-09-04,00947,21.22,31,59983165
2026-09-04,00948B,80.92,315,3228039581
2026-09-04,00949,20.24,27,33928279
2026-09-04,00950B,90.91,149,3739024568
2026-09-04,00951,27.64,35,65145922
2026-09-04,00952,13.43,27,33303816
2026-09-04,00953B,53.05,1392,2425093687
2026-09-04,00954,21.53,18,26870764
2026-09-04,00955,31.19,67,157239221
2026-09-04,00956,22.01,6,7295500
2026-09-04,00957B,50.53,30,95163453
2026-09-04,00958B,21.71,24,26455556
2026-09-04,00959B,48.42,82,247196407
2026-09-04,00960,18.91,8,11259533
2026-09-04,00961,7.82,81,61488384
2026-09-04,00962,10.22,6,6035000
2026-09-04,00963,28.24,21,32486657
2026-09-04,00964,20.58,13,13407265
2026-09-04,00965,41.48,42,167650653
2026-09-04,00966B,36.63,18,42780101
2026-09-04,00967B,70.53999999999999,34,127993824
2026-09-04,00968B,68.71,102,545709521
2026-09-04,00969B,68.95,45,102168607
2026-09-04,00970B,60.48,61,236700610
2026-09-04,00971,16.62,8,9179056
2026-09-04,00972,38.49,4,6033717
2026-09-04,009800,26.55,49,78479681
2026-09-04,009801,19.9,18,18946564
2026-09-04,009802,26.19,57,157666894
2026-09-04,009803,11.24,16,21407845
2026-09-04,009804,10.88,15,16545836
2026-09-04,009805,19.36,72,118950546
2026-09-04,009806,58.09,6,7937710
2026-09-04,009807,57.71,8,8231305
2026-09-04,009808,10.89,4,4308659
2026-09-04,009809,33.5,7,10176171
2026-09-04,00980A,25.37,55,204664045
2026-09-04,00980B,47.01,14,25193720
2026-09-04,00980D,39.400000000000006,25,40182659
2026-09-04,00980T,53.77,11,40293168
2026-09-04,009810,33.72,5,6461408
2026-09-04,009811,17.21,37,40824826
2026-09-04,009812,36.83,22,34229622
2026-09-04,009813,23.72,49,78785144
2026-09-04,009814,20.76,20,31716796
2026-09-04,009815,21.09,58,91040512
2026-09-04,009816,20.14,1466,2417445830
